metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
BLS_MAN_7A89C71E4C,bls_bls_laus_county_monthly_unemployment_rate,Bls Unemployment Rate,unemployment,place,county,monthly,pct,positive,TRUE,vendor_stated,UNEMPLOYMENT_RATE,TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY_MONTHLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_B95F5CB1A3,bls_bls_oes_cbsa_annual_annual_mean_wage,Bls Annual Mean Wage,employment,place,cbsa,annual,usd,neutral,TRUE,vendor_stated,ANNUAL_MEAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_9AE63CDB5E,bls_bls_oes_cbsa_annual_annual_median_wage,Bls Annual Median Wage,employment,place,cbsa,annual,usd,neutral,TRUE,vendor_stated,ANNUAL_MEDIAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_E9B7CE2D3B,bls_bls_oes_cbsa_annual_annual_pct25_wage,Bls Annual Pct25 Wage,employment,place,cbsa,annual,pct,neutral,TRUE,vendor_stated,ANNUAL_PCT25_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_99EEF63C98,bls_bls_oes_cbsa_annual_annual_pct75_wage,Bls Annual Pct75 Wage,employment,place,cbsa,annual,pct,neutral,TRUE,vendor_stated,ANNUAL_PCT75_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_D89F042CED,bls_bls_oes_cbsa_annual_emp_pct_rse,Bls Emp Pct Rse,pipeline,place,cbsa,annual,pct,neutral,TRUE,vendor_stated,EMP_PCT_RSE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_1ED76E4FF9,bls_bls_oes_cbsa_annual_hourly_median_wage,Bls Hourly Median Wage,employment,place,cbsa,annual,usd,neutral,TRUE,vendor_stated,HOURLY_MEDIAN_WAGE,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_765F65A52C,bls_bls_oes_cbsa_annual_jobs_per_1000,Bls Jobs Per 1000,pipeline,place,cbsa,annual,varies,neutral,TRUE,vendor_stated,JOBS_PER_1000,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_E1076DF1DB,bls_bls_oes_cbsa_annual_location_quotient,Bls Location Quotient,pipeline,place,cbsa,annual,varies,neutral,TRUE,vendor_stated,LOCATION_QUOTIENT,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_491A82BE00,bls_bls_oes_cbsa_annual_survey_year,Bls Survey Year,pipeline,place,cbsa,annual,varies,neutral,TRUE,vendor_stated,SURVEY_YEAR,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
BLS_MAN_B20D0D363E,bls_bls_oes_cbsa_annual_total_employment,Bls Total Employment,employment,place,cbsa,annual,count,positive,TRUE,vendor_stated,TOTAL_EMPLOYMENT,TRANSFORM.DEV.FACT_BLS_OES_CBSA_ANNUAL,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_119,bls_qcew_county_naics_avg_weekly_wage,BLS QCEW county NAICS average weekly wage,employment,place,county,quarterly,usd,positive,TRUE,vendor_stated,AVG_WEEKLY_WAGE,TRANSFORM.DEV.FACT_BLS_QCEW_COUNTY_NAICS_QUARTERLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_021,bls_qcew_county_naics_employment,BLS QCEW county NAICS employment (quarterly),employment,place,county,quarterly,count,positive,TRUE,vendor_stated,employment,TRANSFORM.DEV.FACT_BLS_QCEW_COUNTY_NAICS_QUARTERLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_023,bls_qcew_county_naics_establishments,BLS QCEW county NAICS establishment count,employment,place,county,quarterly,count,neutral,TRUE,vendor_stated,establishments,TRANSFORM.DEV.FACT_BLS_QCEW_COUNTY_NAICS_QUARTERLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_022,bls_qcew_county_naics_total_wages,BLS QCEW county NAICS total quarterly wages,employment,place,county,quarterly,usd,neutral,TRUE,vendor_stated,total_wages,TRANSFORM.DEV.FACT_BLS_QCEW_COUNTY_NAICS_QUARTERLY,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_120,county_ai_replacement_risk_combined_score,County AI replacement risk combined score,automation,place,county,annual,index,negative,TRUE,vendor_stated,COMBINED_RISK_SCORE,TRANSFORM.DEV.FACT_COUNTY_AI_REPLACEMENT_RISK,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_125,county_ai_replacement_risk_deployment_adjusted_exposure,County AI deployment-adjusted exposure,automation,place,county,annual,index,neutral,TRUE,vendor_stated,DEPLOYMENT_ADJUSTED_EXPOSURE,TRANSFORM.DEV.FACT_COUNTY_AI_REPLACEMENT_RISK,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_126,county_ai_replacement_risk_raw_susceptibility,County AI raw susceptibility,automation,place,county,annual,index,neutral,TRUE,vendor_stated,RAW_SUSCEPTIBILITY,TRANSFORM.DEV.FACT_COUNTY_AI_REPLACEMENT_RISK,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_122,county_ai_replacement_risk_observe,Fact County Ai Replacement Risk (Transform.Dev),automation,place,county,annual,index,negative,FALSE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_COUNTY_AI_REPLACEMENT_RISK,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
MET_028,bls_qcew_allocated_county_soc_estimated_employment,QCEW-allocated county × SOC estimated employment,employment,place,county,annual,count,positive,TRUE,vendor_stated,estimated_employment,TRANSFORM.DEV.FACT_COUNTY_SOC_EMPLOYMENT,0,1900-01-01,Sourced from catalog `metric.csv` (semantic-layer seeds/reference/catalog/metric.csv). IS_DERIVED=FALSE unless noted in source catalog. coverage_pct=0 and first_vintage=1900-01-01 are profiling sentinels (data_status_code=vendor_stated).
